,measurement_date,nine_axis_acceleration_x,nine_axis_acceleration_y,nine_axis_acceleration_z,nine_axis_angular_velocity_x,nine_axis_angular_velocity_y,nine_axis_angular_velocity_z
105,2021-02-16 17:43:32.776000+00:00,-0.006808774,0.02727474,-0.99749017,0.0010206595,1.627653E-4,-0.0019311559
106,2021-02-16 17:43:32.877000+00:00,-0.005944725,0.025736341,-0.9998533,-0.0017963509,-7.288052E-4,-0.0022994285
107,2021-02-16 17:43:32.966000+00:00,-0.0061053336,0.026600983,-0.99808866,0.0012468704,-1.9670826E-4,-0.0019583842
108,2021-02-16 17:43:33.076000+00:00,-0.006369431,0.02651199,-0.9995858,-0.0019487903,-8.4020256E-4,-0.002423556
109,2021-02-16 17:43:33.176000+00:00,-0.005981947,0.025857136,-0.9981964,0.0012138783,1.21751094E-4,-0.0019236114
110,2021-02-16 17:43:33.275000+00:00,-0.006002925,0.026846346,-0.9997389,-0.001979906,-7.8246044E-4,-0.0024418593
111,2021-02-16 17:43:33.375000+00:00,-0.006603095,0.02565637,-0.9984805,0.0013091478,3.0490124E-4,-0.001966895
112,2021-02-16 17:43:33.477000+00:00,-0.0064120726,0.027131315,-0.9997372,-0.002016593,-8.775733E-4,-0.0025428762
113,2021-02-16 17:43:33.575000+00:00,-0.0068206517,0.025633296,-0.99869776,0.0013185298,1.2224237E-4,-0.0019770293
114,2021-02-16 17:43:33.677000+00:00,-0.006499447,0.027392015,-1.0000523,-0.0024163323,-7.739852E-4,-0.0027357535
115,2021-02-16 17:43:33.778000+00:00,-0.005873063,0.025565444,-0.9985153,0.0012191186,1.2248941E-4,-0.0021497598
116,2021-02-16 17:43:33.866000+00:00,-0.006064736,0.026755352,-0.999876,-0.0023808745,-6.587544E-4,-0.0023924361
117,2021-02-16 17:43:33.977000+00:00,-0.0058544213,0.025590213,-0.9979024,0.0014098196,1.10220426E-4,-0.0020517632
118,2021-02-16 17:43:34.076000+00:00,-0.0060987906,0.026414715,-0.999907,-0.0020032602,-5.060578E-4,-0.0023809772
119,2021-02-16 17:43:34.176000+00:00,-0.006079827,0.025817318,-0.9984963,8.748068E-4,7.5976263E-6,-0.0016621791
120,2021-02-16 17:43:34.275000+00:00,-0.0061346362,0.02716718,-1.0002003,-0.0022236912,-0.0012096202,-0.00280285
121,2021-02-16 17:43:34.376000+00:00,-0.0064081866,0.025856342,-0.99838406,0.001470905,-3.5700636E-4,-0.0020860177
122,2021-02-16 17:43:34.466000+00:00,-0.0061062356,0.025846988,-0.99972355,-0.0016781155,-7.361845E-4,-0.002631684
123,2021-02-16 17:43:34.575000+00:00,-0.0064464263,0.026368832,-0.99849683,0.0011840697,-5.1943167E-5,-0.0018098139
124,2021-02-16 17:43:34.675000+00:00,-0.00619222,0.026474457,-1.0000604,-0.002042903,-6.987703E-4,-0.0019856556
125,2021-02-16 17:43:34.776000+00:00,-0.0063714967,0.026127959,-0.9981649,0.0014717871,3.9128753E-4,-0.002302806
126,2021-02-16 17:43:34.874000+00:00,-0.00614684,0.026304793,-0.9996121,-0.0016309599,-5.265798E-4,-0.0023209006
127,2021-02-16 17:43:34.975000+00:00,-0.0062238947,0.025516884,-0.9983018,0.0016203991,4.4330733E-5,-0.0016202831
128,2021-02-16 17:43:35.066000+00:00,-0.006336749,0.027715046,-0.9998045,-0.0020928974,-8.3031994E-4,-0.0023287323
129,2021-02-16 17:43:35.175000+00:00,-0.0060051437,0.025242195,-0.99903405,0.0015622345,-2.3239487E-4,-0.0017203897
130,2021-02-16 17:43:35.275000+00:00,-0.0073766606,0.02780256,-0.9993985,-0.001671005,-7.7371E-4,-0.002658642
131,2021-02-16 17:43:35.367000+00:00,-0.006621555,0.024294777,-0.99943787,9.3362416E-4,4.6032263E-4,-0.0017127572
132,2021-02-16 17:43:35.475000+00:00,-0.0066224057,0.028147768,-0.9994971,-0.001611584,-1.988218E-4,-0.0028847912
133,2021-02-16 17:43:35.575000+00:00,-0.0055238623,0.02376868,-0.9994115,8.844764E-4,-1.7687913E-4,-0.0019858219
134,2021-02-16 17:43:35.676000+00:00,-0.0073625324,0.028227413,-0.99900323,-0.0013557696,-8.8109606E-4,-0.0025040503
135,2021-02-16 17:43:35.776000+00:00,-0.0068833064,0.024038836,-0.9995991,5.9992727E-4,-1.7709828E-4,-0.0019298948
136,2021-02-16 17:43:35.875000+00:00,-0.0072524864,0.02927487,-0.9991449,-0.0010359783,-0.0013925649,-0.0023635072
137,2021-02-16 17:43:35.976000+00:00,-0.006460304,0.024058623,-1.0005348,9.6160587E-4,-4.6009506E-4,-0.0020693203
138,2021-02-16 17:43:36.077000+00:00,-0.008139688,0.029806413,-0.9981925,-7.179723E-4,-8.976565E-4,-0.002317107
139,2021-02-16 17:43:36.176000+00:00,-0.006056365,0.022860777,-0.9997973,7.1862555E-4,8.8490815E-5,-0.0020028322
140,2021-02-16 17:43:36.275000+00:00,-0.0078604035,0.030052073,-0.99833304,-1.3013624E-4,-8.224702E-4,-0.002156549
141,2021-02-16 17:43:36.375000+00:00,-0.0062439935,0.023080098,-1.0003626,2.591279E-4,-2.33108E-5,-0.0016358845
142,2021-02-16 17:43:36.474000+00:00,-0.008104515,0.030732518,-0.9966507,5.562515E-4,-2.7919575E-4,-0.0018443539
143,2021-02-16 17:43:36.577000+00:00,-0.0066635674,0.02338194,-0.9999433,7.2606467E-4,4.305497E-5,-0.001735733
144,2021-02-16 17:43:36.675000+00:00,-0.007903627,0.029317206,-0.9969529,9.025797E-4,-1.4404769E-4,-0.0017643664
145,2021-02-16 17:43:36.776000+00:00,-0.0061377077,0.022534821,-1.0000324,9.726531E-5,-3.272174E-4,-0.0023469506
146,2021-02-16 17:43:36.867000+00:00,-0.008033799,0.030398507,-0.9961044,6.2794535E-4,-5.706587E-4,-0.0024503064
147,2021-02-16 17:43:36.976000+00:00,-0.006658758,0.024500506,-0.9993701,3.1288536E-4,-5.364655E-4,-0.0023854475
148,2021-02-16 17:43:37.077000+00:00,-0.0073651173,0.027690303,-0.9966589,0.0012296177,1.980014E-4,-0.0020056348
149,2021-02-16 17:43:37.175000+00:00,-0.0052540144,0.023730615,-0.9999103,-0.0010932649,-5.629624E-4,-0.001915033
150,2021-02-16 17:43:37.277000+00:00,-0.0064184233,0.02748905,-0.99719256,7.3119E-4,2.5092653E-4,-0.002157668
151,2021-02-16 17:43:37.375000+00:00,-0.0059750914,0.024812574,-0.9989483,-0.0015118986,-6.740903E-4,-0.0026147864
152,2021-02-16 17:43:37.476000+00:00,-0.0063662548,0.026279137,-0.99794227,0.0016087411,8.5190346E-5,-0.001899017
153,2021-02-16 17:43:37.576000+00:00,-0.005968889,0.02571076,-0.99952555,-9.5258455E-4,-5.2608206E-4,-0.0024946418
154,2021-02-16 17:43:37.677000+00:00,-0.0061616516,0.026057512,-0.9974158,0.0013932979,2.1464686E-4,-0.002324883
155,2021-02-16 17:43:37.767000+00:00,-0.0058842734,0.027225316,-0.9992378,-0.0015626035,-7.4687926E-4,-0.0028392712
156,2021-02-16 17:43:37.876000+00:00,-0.0055572153,0.025292017,-0.99905986,0.0013851719,-3.2955926E-5,-0.0019976567
157,2021-02-16 17:43:37.975000+00:00,-0.0064150305,0.027489154,-0.9996965,-0.001079039,-6.4383436E-4,-0.0026862116
158,2021-02-16 17:43:38.075000+00:00,-0.0063186125,0.024258077,-0.9992143,6.47205E-4,2.6315349E-5,-0.002364991
159,2021-02-16 17:43:38.175000+00:00,-0.0074450397,0.028553903,-0.99968046,-0.0019553965,-0.0011664216,-0.0029682284
160,2021-02-16 17:43:38.277000+00:00,-0.0061571635,0.024349293,-0.99982953,9.0213807E-4,-3.6054098E-5,-0.0019789077
161,2021-02-16 17:43:38.375000+00:00,-0.0070153284,0.0292488,-0.99906605,-7.9459493E-4,-7.8317325E-4,-0.0023208882
162,2021-02-16 17:43:38.475000+00:00,-0.005904201,0.022611069,-1.0005509,8.788456E-4,-2.2599829E-4,-0.0019345443
163,2021-02-16 17:43:38.576000+00:00,-0.008199544,0.030214189,-0.99853104,-9.1485266E-4,-0.0010126538,-0.0022377155
164,2021-02-16 17:43:38.676000+00:00,-0.006395665,0.023508275,-0.99992466,8.827928E-4,-5.2450836E-4,-0.0016577948
165,2021-02-16 17:43:38.776000+00:00,-0.008022915,0.030753773,-0.99757224,-3.0582113E-4,-0.0011704358,-0.0020058604
166,2021-02-16 17:43:38.876000+00:00,-0.0067102285,0.023562262,-1.0005395,4.0175638E-4,-4.8467395E-4,-0.0020743948
